WHAT'S GREEN AND THEN RED?,FROG IN A BLENDER
WHAT GOES UP WHEN THE RAIN COMES DOWN?,UMBRELLA
WHAT CAN TRAVEL THE WORLD WHILE STAYING IN A CORNER?,STAMP
WHAT GOES UP BUT NOT DOWN?,AGE
WHAT'S BLACK AND WHITE AND RED ALL OVER?,NEWSPAPER
WHAT LOOKS LIKE HALF A PIZZA?,THE OTHER HALF.
WHAT HAS A HEAD AND A TAIL AND IS BROWN BUT YET HAS NO LEGS?,PENNY
WHAT DO YOU CALL A BABY RIFLE?,SON OF A GUN
WHAT DISAPPEARS AS SOON AS YOU SAY ITS NAME?,SILENCE
THIS BELONGS TO YOU BUT EVERYONE ELSE USES IT. WHAT IS IT?,NAME
